,댓글,출처,,,,라벨링
66418,프롤레타리아 레볼루션 밖에 답이 없다....,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66419,@노들역 배알 꼴리노?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66420,@노들역 리니지 레불루션이나해라,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66421,막줄 ㅇㅂ ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66422,죽창 마렵다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66423,관리비개쩔거같은데 ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66424,이거보고 민주당 권리당원 가입하기로했다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66425,밥은 매일가서 먹어도 공짜야? 관리비에 청구되겠지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66426,펜트하우스가 90억인걸 떠나서 관리비는 얼마 나올지 재산세는 얼마 나올지 자투리부터 신경써도 감당안됨 ㅠ 일반 월급쟁이 한달 쎄빠지게 번거 고스란히 관리비로 다 빠져나갈텐데 참 부러우면서도 씁쓸하다 ㅠ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66427,@버러지같은새끼야 에휴 병신아 애초에 저기 사는사람이 월급쟁이 일리가 없잖아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66428,@원할머니보신탕 뜬금없이 존나 시비터네 개씨발년이. 관리비가 일반 월급쟁이 기준이라고 적었잖아 이 좆같은씨발새끼야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66429,@버러지같은새끼야 관리비 얼마안해 병신년아 월300이면 떡친다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66430,@버러지같은새끼야 화끈하노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66431,저런데는 핵터져도 2개월간 견딜수있는 벙커 같은거 있을듯,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66432,전쟁이답이다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66433,"막줄 ㅇㅂ ㅋㅋㅋㅋ
장윤정 들어오면 곧 슈돌에서 보겠노",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66434,@익명ec7f7c 어케삿노 시발려나 ㅠ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66435,@친일애국노 닉에 써있잖앙,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66436,"난 빌라에사는 좆거지지만
저돈이라면 롯데타워 시그니엘 입주할듯
저긴 한강도 안보이고
천장도 낮고 외관도 무슨 군인아파트같이생김
애미디진 가격인데 조망이 옆동건물임",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66437,다른세상이구만 씨부랄 ㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66438,"와ㅗ 아파트,",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66439,"고가 주택 돈도 낼수있고 원하기도하는 사람은 있는데 이 병신 정부가 분양가 통제하느니깐 임대 후 분양으로 분양가상한제 피하는거임
집 사려는사람도 좋고 집 파는놈도 좋은건데 이 병신 정부는 시장이 이렇게 윈-윈하는게 싫은 모양임",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66440,인테리어 맘에 안들어서 안샀음,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66441,얼마 안하노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66442,관리비는 얼마나 나오냐?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66443,@알면서물어보는놈 한달에 100대 정도는 나오지 않겠누,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66444,@후룩룩짭짭 250에서 300나온다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66445,"@왕십리개작두 존나게 나오네ㅋㅋㅋㅋㅋㅋ
본가가 관리비 달에 70정도 나오는데 인건비가 대부분이더만
저기도 인건비가 많이나올듯",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66446,"@후룩룩짭짭 인건비도비싸고 시설유지비도 비싸다
다이닝룸 한번빌리면 백단위 우습게 추가됨
살라고해도 못산다",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66447,@후룩룩짭짭 100ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66448,서울 집값 싸긴 싸네...하긴 초고가로 가면 수요가 없으니...,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66449,스카이캐슬이네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66450,ㅂㄷㅂㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66451,와인리스트는 소박하네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66452,어차피 우리는 평생 못 살 집인데 뭐하러 보냐 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66453,니 얼굴 보인다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66454,"잘 살면 저런데 살아도 되지

돈 많은게 죄냐?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66455,회사에서 멀어서 안사려고,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66456,노무현은 살아있다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66457,"저런건 집값 47억 90억이 문제가아니라 장기적으로 빠지는 관리유지비가 좆돼서 졸부들은 못사는거

그냥 임대아파트에서 벤츠나 모는거로 만족해야지",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66458,ㅇㅇ좆럼프 폭망함 ㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66459,내가 매일 싸우는 것은 당신의 미래를 위함입니다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66460,미국도 미국판문재인 겪어 봐야 정신차리지. PC들한테 탈탈 털려봐라. 이번에 바이든 거의 90프로된거 같던데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66461,재앙이 좃진핑이 긴장빨고있겟노 이기,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66462,저 해석 번역기 돌린거임?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66463,영어 해석 멋지게 했네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66464,"암만봐도 바이든이랑 트럼프랑 우리나라한테 직접적인 영향은 대북, 환율정도인데.
(환율은 추가 부양책 4조 달러 풀면ㄷㄷㄷ)

진심으로 궁금해서 그런데 왜 트럼프 빨고 바이든 까는거냐?

어차피 둘다 미국을 위해서 움직일텐데 말이지?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66465,"@월엔귀국 바이든은 미끼야

미국 하원의장 낸시 펠로시가 수정헌법 들먹이면서 대통령(바이든) 상태 안좋으면 카멀라 해리스를 대통령으로 내세우겠다고 했음.

물론 바이든과 카멀라가 당선된다는 가정하에 ㅇㅇ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66466,@겜게IGN 실제 발언을 했다고? 링크 좀.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66467,@겜게IGN 펠로시랑 카마라는 바이든이 임기중에 뒤지거나 졸도하기 제일 바라는 인간들임. 바이든되면 중국의 플랜에 질질 끌려다닌다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66468,@월엔귀국 https://youtu.be/xx0FjOD4qdw?list=WL,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66469,@월엔귀국 https://kr.theepochtimes.com/%ED%8E%A0%EB%A1%9C%EC%8B%9C-%EC%88%98%EC%A0%95%ED%97%8C%EB%B2%95-25%EC%A1%B0-%EB%85%BC%EC%9D%98-%EB%8C%80%ED%86%B5%EB%A0%B9-%EA%B1%B4%EA%B0%95-%EC%9D%B4%EC%83%81%EC%8B%9C-%EA%B6%8C%EB%A0%A5_548289.html,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66470,"@겜게IGN 현 상황도 부대통령이 하게되어 있고, 부대통령 조차 못하면 하원의장이 하게되어 있네.

오키 이건 이해했고,

그럼 한국에 영향은?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66471,@월엔귀국,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66472,"@겜게IGN 친중은 개새끼지. 이걸 말하려는거잖아?
너가 주장하는건 트럼트쪽 주장이고. 한국 한국무역협회에서조차 누가되든 중국이랑 마찰은 피할 수 없다 리포트까지 냄.
그러니 더욱이 한국입장에서 방위, 환율 말고는 누가 되든 응원한다는거 자체가 우습다는거임.
(개인적으로 트럼프횽 좋은데 너가 바이든 까니까 아니라는 발췌만하는중)

일각에서는 바이든 전 부통령이 당선되면 미중 무역갈등이 해소될 것이라는 전망이 나오지만 여전히 일부 제재를 유지될 가능성이 높다. 바이든 전 부통령은 대중관세가 오히려 미국 소비자들에게 나쁜 영향을 미칠 것이라고 밝히긴 했지만 홍콩 국가보안법이나 중국 소수민족인 신장위구르족에 대한 인권 침해 등 문제는 트럼프 대통령보다 더 민감하게 받아들이고 있기 때문이다.

특히 지난 9월 바이든 전 부통령은 당선될 경우 티베트 지도자인 달라이 라마를 만나겠다고 밝히기도 했다. 서방국가와 인권단체들은 중국 정부가 티베트족을 억압하고 있다고 주장하고 있으며, 바이든 전 부통령은 민주주의와 인권 가치를 지키기 위한 중국 제재를 더 강력하게 펼칠 수도 있다.

이같은 문제에 대해서는 트럼프 행정부와 달리 바이든 전 부통령은 시진핑 중국 국가주석을 ‘깡패’라고 부르거나 중국 정부가 위구르족에게 한 행위를 ‘학살’로 규정하는 등 훨씬 더 강경한 태도를 보이고 있는 것이다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66473,"@월엔귀국 홍콩 주민들은 트럼프 지지할뿐더러 친중 정책 펼치겠다고 대놓고 씨부리고 다닌게 바이든이다.

지금 선거 하려고 표 끌어모으기 위해 안하는척 하는거지 그걸 모르겠냐

석유 fracking 문제도 한다고 했다가 안한다고 했다가 이지랄 하고 있는네

그리고 바이든 자체도 미국 민주당의 미끼일뿐인데 뭘 보고 바이든이 중국을 조진다는거야

댓글로 올려준 짤을 보고도 모르겠나.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66474,"@월엔귀국 흠... 다른 뉴스만봐도 친중은 트럼프 프레임이라하는데 한쪽으로 편향된 것만 보고 있으니

그래서 누가되든 미국이랑 짱깨랑 싸우니 대비해야 한다고 조중동조차 이야기를하는데


너한테는 답을 얻을 수가 없네.

이미지깨지네

https://www.donga.com/news/article/all/20200919/103006303/1",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66475,"@월엔귀국 바이든이 되면 그냥 짱깨 하수인 노릇한다고 생각하면 됨.

물론 그 자체도 카멀라한테 뺏길 수도 있지만 말야.

바이든은 선거 이전부터 친중 정책 펼치겠다고 발언한 사람임.

바이든 아들 헌터 바이든 자체도 유역비로 짱깨 로비 받았다는 논란이 있고, 그 외에 우크라이나 스캔들, 바이든 치매 논란, 미국 민주당 부정선거 논란 등 심각한게 한두개가 아니다.

헌터 바이든은 유명한 여자들과 섹스하거나 심지어 헌터 바이든과 섹스한 여자 중에서 오바마 딸까지 포착됬다.

그뿐만 아니라 바이든 아들 헌터 바이든은 미성년자와 성매매 혹은 섹스 화상 채팅한거 포착됨.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66476,@월엔귀국 민주당은 친중 트럼프 반중,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66477,"@바나나를그냥 https://www.donga.com/news/article/all/20200919/103006303/1

짱깨 좋아하는 놈이 시진핑한테 깡패라고 하나?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66478,"ㅉ ㅉ 굿바이..입럼프
좌익들이 이 사람 당선 바라는 것 보니 끝났다 이기",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66479,@익명863659 그새끼는 지 망상으로 그지랄하는거고 ㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66480,"트럼프가 되든 바이든이 되든ㅋㅋ

대한민국 정치인 씨발년들이 국민세금 빨아서 골목 대장 노릇 할려고하는 건 절대 안바뀜.

민주당은 골목대장 하는데 주위에 친구,식구,자식 이웃집 개새끼까지 다 콩고물 달라고 지랄 하니까 해먹는 파이가 큰거고..
보수당은 골목대장 노릇 하는데 지들만 해 쳐먹으니까 상대적으로 파이는 작지만, 주위의 단체들이 좆같아 하는 차이밖에 없음.

대한민국은 조선노예로 시작해서 먹고 살기 위해 존나게 노력해서 박정희 시대 거쳐서..
잘먹고 잘 살게 되었음.

근데 엇! 씨발 등은 따시고 배는 부른데 이제 뭐하지? 가 된거야..

기업은 저멀리 갈려고 하는데 정치인 씨발년들은 먹고 살만 하니까 이제 조선식 버릇 못버리고
노예 새끼들 세금 착취해서 자기 배불리는데 눈까리가 돌아간거다 이기야..

대한민국은 이념으로 싸우는척 하는 개새끼들밖에 없어.
나라 발전 막는 썩은 새끼들 하고 진짜 나라 망하게 만들 정도로 썩은 새끼들 두 부류임.

대한민국은 혁명이 필요함.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66481,임기끝나면 근혜명박이처럼 최소20년이상 깜방들어가겠네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66482,캬 우리 대통령 지렷다 ㄷㄷㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66483,난 딴거 없고 그냥 트럼프가 재선해서 짱깨 조지는거 계속했으면 좋겠음 ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66484,@ANgelDO 중국에 나라팔아먹은 매국노들땜에 이것밖에 답이없음 우리도,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66485,영어 존나못하네 당신의 미래는 내가 매일 싸우는 이유입니다 지 ㅉ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66486,@레반디나 머? ㅅㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66487,@레반디나 이유는 무슨 이유ㅋ 지도 못하네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66488,일베가이겼다!!!!!!!!,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66489,럼프형님은 SNS도 좆간지노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66490,@익명6941b2 우파들한테 인데 한국 우파에 희망이 없어서 중도로 넘어갔다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66491,난 직종이 2차전지라 바이든이 이겼음 좋겠당,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66492,빅토리 틀딱!,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66493,말도잘해요~ 틀딱프 춬 해!,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66494,"당신의 미래는 내가 매일 싸우는 것입니다가 도대체 무슨말이냐?

알아듣게 설명좀",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66495,"@유미쨩 아무래도 영한 번역을 그대오하면 좀 이상해지기도
하니까 뉘앙스상 좀 손을 본다면

당신의 내일은 저의 투쟁을 통해 만들어가겠습니다
정도로 이해하면 될것 같은데",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66496,@유미쨩 당신의 미래를 위해 내가 매일 싸워나가겠다 뭐 이런식으로 해석가능할듯,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66497,"역시 일베는 모든걸 알고있노 ㅋㅋㅋㅋㅋㅋ
트럼프 재선도 더맞췃노",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66498,치금 ytn은 바이든 당선 기정사실로 보도하는데?ㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66499,"딴건 몰라도 진짜 마지막 문장은 가슴을 후빈다.
Your future is what I'm fighting for every single day!!! 키야....
이 명문을 '당신의 미래는 내가 매일 싸우는 것입니다' 라고 직역하면 너무 밋밋하다.
좀 의역을 해야 그 감동이 전달될텐데,
당신의 미래를 지키기 나는 매일 투쟁하겠습니다 라거나
내가 싸워 이긴 그것이 당신의 미래가 됩니다 라던지.... 어렵긴 하다 ㅋㅋㅋ
어쨋거나 그 의미는
난 당신을 위해 중국 러시아 멕시코이민 마약 범죄 PC 아동성범죄 일루미나티 등등과 싸워 이겨냄으로 당신들의 미래를 보장하여 보답하겠습니다 뭐 이런..... 아 ㅅㅂ..",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66500,"@달구지맨 영한번역을 가능한 양념없이하면서도 최대한 우리식으로
매끄럽게 이해되도록 하는건 보통일이 아니지

공문서등에서 니가한것처럼 번역하면 다소간 무리가
있을지는 모르지만, 뜻은 너가말한게 맞을듯",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66501,"우린 왜 저런사람이 없냐 ㅠㅠ

하긴 제정신인 사람이면 진작 이민갔지",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66502,@사업아이디어10만개 있었는데 등에 칼꽂힌 것을 조롱하는게 국민들이었지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66503,"@익명d28c99 머리숱 많은데??

모방하려면 왜 안 밀음?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66504,"@익명6309c6 생긴걸 모방한다는게 아니라 정책을 모방한다는거지.

이 무식한 놈아

중학교는 나왔냐?

나왔으면 그학교는 똥통학교라는 증명..기본도 안가르치니.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66505,@익명d28c99,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66506,훠훠훠 총기가 먼줘돠,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66507,@익명ff63a0 빨렙되면 공산당에서 얼마주나요 혹시?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66508,@익명ff63a0 민간인은 한명도 안죽은걸로 아는데 반란군이었지 애초에 사람도 아니고,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66509,@익명ff63a0 518 광주 개폭동때 자유 대한민국을 지키기위해 폭도들과 싸우시다 희생하신 국군장병 여러분들을 진심으로 고개숙여 추모합니다 그대들의 희생이 오늘날의자유대한민국을 만들었습니다.저희들이 그대들의 얼을 이어받아 살아가면서 518과 연괸된 폭도들의 후손들을 보면 그대들 처럼 인정사정 없이 척결 하겠습니다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66510,@익명1b0a3f 위에 댓글이 식제되어 뭔밀을 햇는진 몰겟는데 너의 대뎃글에서.저 밑 깊숙한 너의 사타구니 모듬정액에서 부터 뿜어나오는 깊은 빡침이 느껴지네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66511,위협하는거지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66512,국민한테 맞아 죽을까봐 대구 서문시장 반문했을때 기관총 꺼내놓고 경호했잖아.. 인간 쓰레기 말종 새끼 ㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66513,박근혜는 감옥에서 복장터질듯ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66514,ㅋㅋ 힘들어서 자살할라는 일게이 글쓰면 댓글로 죽기전에 문재인죽이고 죽으라고하는새끼들이 경호원이 권총갖고있는게 뭐가 대박이냐?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66515,겁은 존나 많아요,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66516,ㅋㅋㅋㅋ 쫄보새끼,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66517,겁이존나많음,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66518,쩔었네 ㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66519,"씹정희 새낀 탱크몰고 청와대 입성한 새낀데 경호원들 총찬걸 예민하게 받아들이네

틀딱들은 ㅁㅈㅎ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66520,@전북진골귀족 하프홍어 ㄷㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66521,@전북진골귀족 이새끼 애미년을 탱크궤도에 갈아죽였어야 이런 씹홍어새끼가 안태어났지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66522,지은죄가 졸라 많아 처 죽기 싫은가보구만..,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66523,쟤 중국이나 북한한테 무슨 협박 받냐? 대통령 끝나면 왠지 죽을거 같은데?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66524,ㄹㅇ 중국이나 정은이한테 위협받고잇는거아니노?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66525,대구 서문시장 가서는 소총 경호ㄷㄷㄷ 이건 약과다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66526,@배현진남편 ㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66527,권총8개면.. 딴건 더 많다는건가?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66528,"@취두후 http://www.newdaily.co.kr/site/data/html/2020/01/07/2020010700252.html 경북 지키던 패트리어트 빼서… 청와대 뒷산에 배치했다""",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66529,조까튼 간첩새끼... ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66530,권력은 총구에서 나온다. 마오쩌둥,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66531,위협도 안했고 안쐈는데 왜 호들갑 경호가 경호한것 아니닉ㆍ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66532,"소지하고 있던건 뭐라고 할건 아니지

전에 시장바닥에서 기관총 내보인거 그런거랑 다르잖아

경호하는 새끼들이 그럼 뭐 물총 가지고 경호해야 함?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66533,"@익명1ef4f7 국회연설하는데
온갖 잡놈들 까지 다 기어들어오냐?
오는놈들은 한정,정해져있는데
총을 들고가는거면
그건 이상한 일 아닐까?
역대 대통령이 다 그러했다면
당연한거겠지만 그것도 어니라면
국회의원을 수상한 사람들로 인삭하고 다닌다는건데
엄청 이상한거지",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66534,@익명29f7a0 홍어 산란기 왔노?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66535,"이번 시간대에 모조리 뒈질 종자들 운명들을 알아보자 ㅋㅋ

중공멸망 과 친중파들만 있는 개좆들 : 더민당 + 미통당 괴멸 예언들 과 문재앙 출현을 예언

1. 화충(華蟲)의 본래의미 와 뜻
https://gall.dcinside.com/board/view/?id=stock_new2&no=6789883
==> 본토 짱꼴라 한족 + 짱꼴라 앞잽이 조선족 + 기타 한국에 있는 전라도 진짜토착왜구들 멸망 예언 => 중공본토와 한반도 기식하고 있는 짱꼴라 혈통들이 모두 세계연합국에 의해 초토화 된다는 예언

2. 장자석을 아는가?
https://gall.dcinside.com/board/view/?id=stock_new2&no=6789895
==> 본토 짱꼴라 랩틸리언 혼혈족들의 최후 , 하늘이 천명한 중공 멸망예언

3. 송구 영신가 뜻 "" 이당 저당 다 버려야 산다!! "" - feat 개진핑
https://www.ilbe.com/view/11294438497
===> 중공당교 우마오당 짱꼴라들에게 돈과 권력을 받고 나라를 팔아먹는 매국노짓을 골라서 하는 현존하는 < 더민당+ 국민의 힘 당 >의 괴멸과 단 한마리도 살아남지 못하는 예언

4. < 문재앙 등장 > 을 예견하고 문재앙 정체를 알린 동학가사 "" 해 동 가 "" 를 알아보자
https://www.ilbe.com/view/11298112005
===> 문재앙이 518 추종세력들과 세월호 < 인신공양 >를 바친 댓가로 집권한다는 예언",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
66536,"@눌변 4. < 문재앙 등장 > 을 예견하고 문재앙 정체를 알린 동학가사 "" 해 동 가 "" 를 알아보자
https://www.ilbe.com/view/11298112005
===> 문재앙이 518 추종세력들과 세월호 < 인신공양 >를 바친 댓가로 집권한다는 예언

==============


문재인이 대통령으로 등장하게 된 결정적 배경에는 여러가지 있겠으나 세월호 의 효과가 거의 결정적 이었다. 이 세월호에 대한 자세한 내용은 인터넷에 기록된 것이 있으니 그걸 참고 할 것이다. 그러나, 그 내용들 중에선 일반인들이 아직 제대로 알지 못하는 내용들이 많다. 또 일부 거론 된 부분이 있지만.. 이제 원하는 바를 얻었기에 저 악종 무리들은 방치 하고 있는 중에 있다.


어느 잡놈이 , 백제망국망혼 떨거지 이자, 한반도 왜족 출신이고, 증산 제자중에 하나인, 나중에 증산을 배반해서 벼락을 쳐받아 뒈졌던 한 놈팽이가 또다시 이땅에 기 나와서 호기롭게 얘기한 것이 바로... 저 세월호 등장이 남조선 뱃질 이라 한다. ㅋㅋ 얼마나 우습던지 ㅋㅋ 아무튼 저런 놈도 있다.


그러나, 저 세월호 실상을 알고보면 끔찍한 귀천(鬼天)의 현실 도래(導來)을 의미 한다. 비록, 일시적이고 한시적에 불과 한 것이지만 우매하고 이용 당하기 쉬운, 서쪽.북쪽 사람들을 집단적으로 이끌어서 벼랑으로 떨어지게 할, 악귀무리들이 전면에 등장하게 할 원인이 되었다. 음모론자들이 말하는 바의 세월호 인신공양 이란 말에 깜짝 놀란 적이 있다. 이 말보다 더한 실제적 의미를 적시 한게 있을까 했다. 그 뜻 그대로 애꿎은 생사람을 죽여서 그 공양으로 저 문재인이 대통으로 등장 하게 되었다는 뜻이다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv,,,,
